Username,waktu,Komentar,Rating
Rezky kurnia,2023-06-21,terlalu sangat banyak update tidak jelas simpan buat permainan saja hampir lebih gb dari pertama install Hanya bulan bayang kalau sampai tahun seperti simpan buat permainan saja bisa sampai gb,1
Nana Prasetya,2023-06-21,permainan salah satu game favorit saya game nya keren apalagi sistem unik mode mpmultiplayernya karena banyak mode frontline hardpoint bomb tugas dll dan scorestreaknya unik dan agam,5
Geraldo Wowiling,2023-06-21,gamenya sudah bagus sesungguh semua bagus kecuali masalah jaringan tolong baik jaringan dong admin padahal jaringan saya stabil dan masih ada kuota tapi saat masuk gamenya semakin lama bange tolong peka dengan ulasan para main codm iya admin,3
Liya Triana,2023-06-21,mencari musuh tolong yang pintar kemampuan nya,2
Fendinata Rahman Hakim,2023-06-21,pilih tim sesuai skill bawah saya dan lawan selsaikan saya anjing lah developer game i idan saat ingin pindah jaringan wifi sering jadi error terkadang keluar pertandingan dengan sendiri,1
Jubir Vega,2023-06-21,garena yang hormat kenapa punya saya kalau mau main br atau mp ranked sekarang tidak bisa masuk situ tulis sambung ulang permainan atau permainan sudah akhir jadi bingung sendiri jadi karena saya lapor cheater yang merajarela mp ranked,5
Rahid Muafa,2023-06-21,sesungguh nya saya suka permainan tapi saya bisa login padahal koneksi nya sudah stabil tolong baik segera,5
XII - C - 08 - Rivolly Andrew,2023-06-21,bagus tapi aku mau ada perk overkill agar bisa senjata sekaligus dan gold camo draw terus og scrapyard map dan juga bom monyet monkey bom iya developer tolong aduh tolong iya anjing,4
Akbar Bilal,2023-06-21,tidak jelas padahal jaringan saya bagus saja nonton tiktok lancar nonton youtube lancar eh saat login cod tidak masuk galer,5
John Rocky,2023-06-21,tolong dong delevoper setiap aku main pasti kalah selalu tolong musuh kurangin pro nya,2
Agustinus Ilham,2023-06-21,mode multiplayer player sekarang hanya tampil fpp ada pilih untuk tpp,2
Ken,2023-06-20,baik bug lag di mp  match yang seimbang di ranked mp  kompensasi team mate yang keluar bagus ,3
Ann Abror7,2023-06-20,permainan keren tapi yang main ngabanyak tapi susah loh codm yang paling penting itu permainan keren sangat,4
AJDedy Satria,2023-06-20,update terus tapi hasil nya sampah cod kira bug nya sudah baik tapi nyata sakit permainan nyata masih sama lag loading lama aku main redmi note pro jaringan tidak tempat saya sudah support tidak tapi setiap main masih saja lag saat hadap dengan musuh lag terkadang semakin freze tidak bisa gerak alhasil kalah terus tidak hanya itu masuk match nya pun telat loading nya tidak jalan hapus cache mulai ulang tetap saja saat permainan lag terus jadi malas main nya buruk permainan sampah,1
Samudra 15,2023-06-20,tolong jangan buat terlalu sulit ranked match banyak yang curang main permainan cod kalian develop malas atau kerja benar tidak sih,2
Yu_Aldian,2023-06-20,saat matching main empat orang terlalu sering penuh orang anggota squad bahkan sering main sendiri walaupun pilih opsi squad tolong baik dan lebih tingkat auto fill squad nya,4
Aaron Dominic m,2023-06-20,bagus tapi tingkat sedikit,5
DCRPROD 69,2023-06-20,bagus sekali permainan banding dengan permainan lain selalu update untuk fiturfitur baru samangat iya developer edit tolong optimal internet dan gameplay,5
Zidan,2023-06-20,banyak cheater yup sekarang banyak sangat cheater wallhack dan auto aim dan juga sistem kompensasi yang Hanya dapat rank shield saya rasa tidak berguna setiap match snd pasti dari match selalu ketemu cheater saya capek laporin cheater selalu dan masa kompensasi Hanya rank shield iya memang sih berguna tapi habis itu main rank ketemu cheater lagi kalah benar masih berguna itu rank shield,2
Ta Taa,2023-06-20,bagus permainan nya tapi lebih bagus kalau codm ada bagi bagi cp soal nya mau beli pertarungan password,5
Rangga Rafisya Pratama,2023-06-20,tolong cipta tempat sosial island atau cheerpark pubg mobile dong codm pasti seru sangat,5
Rali Mahmudiardi,2023-06-20,aku mau protes padahal jaringan lancar tapi mas,1
Pranata Machrus,2023-06-20,aku mau protes saya saat main permainan lain itu lancar tapi saat main call of duty hubung server terus time out bahkan loading nya lama sangat jadi kalau bisa perbaiki dong,1
Rasyah kirisdiantoro,2023-06-20,gamenya turut saya bagus dan gameplaynya tidak bosan tapi sayang ukuran gamenya besar sangat dan makan simpan yang cukup besar tolong developer kecil ukur gamenya,5
Komang Wisnawa Triadi 4A,2023-06-20,sedikit terganggu karena keluar dari permainan nya karena animasi review map dan soldier nya saat main,3
M Rafif Dwi N,2023-06-20,punya tim beban senjata apa tidak mempan sama musuh bukan aku yang noob lo trs padahal sudah kena musuh tapi tidak hit padahal sinyal bagus sudah lah tidak mengerti saya kasih bintang karena aku sudah pusing push rank kalah terus sudah kalah terus botnya tambah susah auto aim ngecheat bodoh buat orang stress mati terus karena bot,1
Chiko Fiudo,2023-06-20,game seperti tai saya main jam push rank tapi setiap main kalah selalu dapat tim bodoh game rusak game seperti ff saja game babi lebih baik saya main pubg saja game bodoh main juga bodoh semua,1
unaiz meloza,2023-06-20,sudah tahu kalian dukung kaum pelangi saya langsung menguninstall permainan terimakasih untuk semua layan dan permainan seru goodbye,1
rudi shalam,2023-06-20,mode vs nya hilang padahal seru mode itu tolong hadir kembali mode vs,5
Wildan Hidayat,2023-06-20,permainan nya lumayan bagus tapi banyak bug nya tolong benarkan iya terimakasih,4
Steve Lembong,2023-06-20,kalau andai ada tanpa bintang itu yang pantas untuk update versi saat jaringan saya baik baik saja harus putus tengah tengah permainan bukan hanya sekali tapi sering bagaimana mau naik rank kalau begini terus yang ada turun jauh,1
Abdullah Matin,2023-06-20,selalu timeout saat login dan saat main seimbang match up dan gameplay harus tingkat agar berat belah kuat tim,1
Husni Nur Dzaki,2023-06-19,jaringan terkadang jelek harga senjata legend juga garena pelit sangat,3
Hartommy,2023-06-19,permainan dajjal main kasih dark sistem tidak boleh menang sudah begitu kalau main jadi ngelag musushnya seperti e sport kita orang biasa,1
MELIODAS 4you,2023-06-19,tolong admin dari tadi pagi tidak bisa login tolong selsaikan cepat masalah tidak nyaman sangat,1
CannonBoom Ch,2023-06-19,semoga baik iya masalah timeout dari permainan karena saya bisa log in aku saya tolong jawab terimakasih,3
Aidin Akbar,2023-06-19,permainan fps paling bagus tetapi hanya ada satu bug yaitu bug gamepad yang sulit saya yang biasa main dengan gamepad,5
Milan Alekha,2023-06-19,permainan paling bagus soal saya sudah losestreak kalau terimakasih iya codm,5
M Tri Surya D,2023-06-19,permainan milik sistem yang sangat buruk main contoh apa ketika kita hampir naik rank kalau menang saja maka kita akan naik tetapi permainan mensetting kita pasti kalah dengan temu dengan squad yang hebat main dan ketika kita afk karena ada kendala jaringan developer toleransi itu dan langsung keluar kita dari permainan dan kurang point rank yang mana itu sangat sulit untuk dapat saya sangat respect,1
Dhika Cms911,2023-06-19,developer saran saya tolong hasil tanding atau hasil match tampil jumlah kill dan jumlah death individu setiap babak main utama jumlah death tampil cara garis besar layar utama ketika selesai match banyak player tanpa kemampuan serang tidak penting death mereka olah olah mereka jago main padahal mereka bukan player pro lain player cacat dengan modal berani mati alias acau match hasil main terasa bosan karena bukan hasil dari kemampuan,4
Rafka,2023-06-19,game nya mah sudah bagus sih tapi perbaiki bug yang ada call of duty nya masa aku mau ngerangkak tapi tidak bisa,3
Ahmad Erlangga,2023-06-19,developer tolong tambah akimbo park karakter nya biar keren berguna in senjata nya,5
Bang Ali,2023-06-19,saya kecewa saat menginstall ulang codm akun saya yang sudah saya main dari hari pertama permainan rilis semakin reset semua dari lagisudah coba pulih tapi sama saja pulih,1
Nadhi Pintarto C10H21,2023-06-19,setiap update game skin karakter sampai senjata sekarang seperti badut tidak seperti codm dulu saat awal permainan muncul playstore,4
Ezra Cassington,2023-06-19,aku tidak tahu iya kalau sekarang codm bisa ubah jadi permainan simulasi orang tuli wkwk masa player musuh yang tidak pakai perk dead silence tidak ada suara langkah kaki sama sekali gilir aku yang pakai dead silence musuh tahu ada saya alasan nomor satu saya selalu kalah mode mp atau br cacat sangat permainan developer tidak bisa ngoding yang betul seperti,1
Iham Maulana,2023-06-19,maaf kakak saya kritik karena samakin jauh level saya semakin lambat permainan nya padahal saya main tidak cepat cepat sangat jaringan juga stabil mohon agar segera baik ada ganggu yang tidak stabil kakak nanti kalau sudah bisa saya kasih bintang,1
alexander way,2023-06-19,permainan bagus sangat pertarungan royale nya sampai mejam mata tapi ini iya permainan berat sangat memori sampai bengkak ini tapi tidak apa-apa salut sama permainan bagus karena grafik nya jelas karena permainan berat,5
North Jakarta Fans,2023-06-19,habis update jadi tidak bisa login selalu keluar tulis login timeout,5
PillowMan,2023-06-19,analog saya ngestuck begitu iya tolong dong saya turun kalau anjing,1
Ardiansyah Daffa,2023-06-19,woi jangan event terus kamu urus  uruslah itu match matchingnya suka dapat tim bodoh selalu gilir musuh jago sangat bayangkan saja dari gm naik turun sampai master  bagaimana tidak mau mati ini permainan kalau seperti begini terus match makin nya  aduh lucu lebih baik pensiun,1
Dany Tyas,2023-06-19,tolong tambah kan pistol saat terjun pertarungan royale bukan melee,5
Mand Vermilion,2023-06-19,dear developer saya sangat suka permainan perang dan saya mau komplain apakah karena hp saya atau bagaimana setiap main mp scorestreak nya selalu error misal saya pakai loadout saat pindah loadout sih scorestreak nya masih yang loadout bagaimana cara selsaikan,5
Alvin Liambo,2023-06-19,permainan tidak berguna masa habis hapus cache langsung tidak bisa pakai gamepad terus muncul selalu notifikasi tunggu bagi lobby permainan t semakin update semakin bodoh saran saya tidak perlu download ini permainan sampah,1
game play,2023-06-19,seru sih tapi ada bug force close perbaiki soal saat mau main force close terus,3
Sani Nugroho,2023-06-19,dari segi gameplay milik grafis yang bagus dan juga gerakan kaku punya beberapa mode main sehingga mudah bosan saat memainkan itu saja saja dari saya terimakasih,5
Ogi Surya,2023-06-19,tolong tinggi frame rate nya agar kami bisa dapat performa yang bagus,4
Choirul 31,2023-06-19,gamenya bagus realistis sangat,5
Tegar Rizki,2023-06-18,ini permainan dari dulu time out mulu mau login pakai facebook saja susah sangat,1
Muhamad Nugraha,2023-06-18,permainan online fps buruk yang saya maenin matchmaking buruk sekali aku sudah lose streak masih saja kasih tim yang beban terus terus ranked  gacha draw spin ampas sangat mana yang keluar duit tidak sedikit  yang akhir simpan terlalu besar buat permainan padahal grafik buat tidak sesuai ukur yang terlalu besar main buat have fun saja kalau bawa serius nanti semakin jadi stress jadi saran dari lebih baik main mode biasa banding ranked yang sangat buruk matchmaking nya,1
Riakikihabib,2023-06-18,permainan sudah sangat bagus dari segi grafik main seru dan lain lain tapi saya saran bisa lebih maksimal untuk user android saya agar bisa lebih nikmat permainan serta semakin puas karena ada beberapa hal puas terkadang permainan patah patah jaringan stabil dan beberapa hal lainnya saya harap bisa baik jika turut saya beberapa hal puas selsaikan ada yang sudah baik saya akan beri bintang sekian terimakasih salam codm jaya,4
Athaya Dzaky,2023-06-18,untuk spin senjata legendaris sedikit rangin cpnya terlalu mahal,5
Pirate Minee,2023-06-18,matchmaking tidak adil master v dapat temen pro i sistem tidak adil jadi delay sehingga sudah tembak ada damage yang timbul lalu suara langkah kaki yang terlalu kecil yang repot saran saya matchmaking solo temu dengan solo party bertemu dengan party lainnya sehingga main dengan rank tinggi tidak temu dengan rank rendah yang ada bawah dan matchmaking jadi lebih adil dengan temu sama rank dan besar suara langkah kaki main lain,2
Ady Saputra,2023-06-18,saya beri bintang lima ini karena permainan nya bagus sangat realistis keren,5
