Username,waktu,Komentar,Rating
Phyta Rayhn,2023-06-21,tolong permainan ringan kan karena kasihan kami yzng hp nya tidak kuat kagi dan kamu lebih suka milik garena yang dulu kulgar dikeluarin sebentar epep saja yang blokir,1
Komang Edirestawan,2023-06-21,baca info permainan saja terus padahal sinyal bagus saja tolong admin baik permainan nya biar tidak bosen semoga baca terimakasih,2
Sofyan Uchup,2023-06-21,sudah update sinyal kenapa tidak stabil sih tolong dong garena baik sinyal padahal sudah tidak tapi masih tidak stabil,2
Nasywan Farrel,2023-06-21,update terus semua bug tidak urus jaringan saat main permainan lain lancar main ep ep lag tolong benarkan garena,5
Baim Aja,2023-06-21,tidak bisa berguna updet terus kita kalau main csr dapat temen yang cupu sementara musuh yang pro coba lah kalau ada yang ngetrol temennya langsung lah beritanggapan jangan dibiarin mengerti,1
Aditya Bp,2023-06-21,permainan nomor yang tidak bagus main kan gelowal tidak bisah pasang jaringan bagus kalau memang permainan tidak selsai pasti yang ngurus juga tidak selsai apalagi sekarang yang ngurus ff perempuan permainan aneh kalau masang gelowal tidak bisah permainan apa permainan sampa seperti urus tidak,1
Lintang Faiz faudzan,2023-06-21,garrena banyak bug nya sekarang semakin tidak jelas ff nya terkadang mace trus keluar sndri pdhal hp saya juga bagus dukung sangat,2
mobile legendtod,2023-06-21,tolong baik bug bug permainan cukup babyak dan tolong buat matchmaking yang adil please dan jika bisa hapus fitur knock mode cs risih saja sudah headshot semakin revive,1
Alanfadlan Fadlan,2023-06-21,tolong kalau main jaringan selalu lama padahal jaringan sudah bagus tolong kondisi masalah jaringan,5
INDRA CAHYANI SAPUTRA,2023-06-21,ping an sinyal masih tidak stabil sering lag tidak seperti ff dulu sinyak ping an masih enak tidak terlalu delay keluar glowall sekarang sudah beda,1
Su santi,2023-06-21,permainan saat bagus tapi saat beri bintang karena masih ada salah tolong baik lagi banyak sangat cheater diff tolong perhati iya saya minta tolong kalau setiap turung tiba-tiba langsung kenok tolong baik,1
Setya Novanto,2023-06-21,admin tolong lah masa setiap main sinyal tidak stabil selalu padahal sudah dapat pesan dari garrna langsung tapi kenapa tidak bisa ubah bagaimana sih capai ngeluh selalu ini tolong lah buat stabil ping nya,1
Gabriel Arvico,2023-06-21,admin kenapa ff keluar dengan sendiri nya terus custom hud hitam dan itu bukan hanya sekali saja jadi tapi sering jadi pada br ranked admin tolong baik,2
Cep lucky Aditia lestari,2023-06-21,garena harap bug bug baik takut nya para player banyak yang pensiun bug yang paling resah adalah bug aim damege dan kata kata kasar sangat banyak gloo juga ada bug gloo terbang gloo miring can fare saja bisa miring harap baik,1
MBINTANG NS,2023-06-21,garena kenapa tampil lobby saya kenapa error ada tulis txt dan tulis title jadi tidak jelas kenapa kecuali title years old itu saja minta solusi terima kasih,1
Aaadd Asheheh,2023-06-21,apasih kalau login harus ulang ulang map protection kalau tidak login ulang tidak bisa buka mode aku sampai ngulang login tidak bisa bisa ayo kita semua uninstall ff,1
Andi Blezz,2023-06-21,halo admin saya mau kasih tahu kalau bisa main clasic atau rank Hanya bisa training and cs room kenapa iya admin karena saya mau latih mau ikut classmate,5
Me Y,2023-06-21,free fire semakin kesini semakin buruk permainan nya saya suka free fire sekarang selalu bug terus saya kesal sama jaringan nya jadi tolong admin segera baik,1
Darmawan Darmawan,2023-06-21,bug nya nyebelin sangat masa baru main lansung mati tenggelam dasar laut padahal turun nya darat masa di darat bisa tenggelam sih,1
Agung Respati Wahyulianto,2023-06-21,bagus tolong garena ikan senjata lama untuk spinnagar lebih baguaya ingin ada aku jt spin saya belum punya ini garenatolong jawab,5
Sutri Yana,2023-06-21,aku ngasih bintang dulu soal aku kenapa tidak bisa putar ulang video reply tempur nya mohon jawab bagi pihak developer nya,2
sri hidayati,2023-06-21,permainan nya bagus tetapi masih banyak bug dan error mohon maaf saya bisa kasih bintang tapi semangat terus baik permainan nya,4
Elak Yulaika,2023-06-21,tolong bug nya baik nyaman rasa main dengan bug signal jaringan bagus tapi main semakin ngelag inti baik semua bug yang ada agar bisa main dengan nyaman,2
Oppo A37,2023-06-21,permainan nya bagus tapi emot nya tidak gratis dan tolong main nya tidak pakai paket,5
Syafiya Gwen sareefa,2023-06-21,bagus kenapa permainan nya tapi terkadang bug dan itu sangat menganggu untuk player yang kena bug jadi saya kasih rating dulu iya garena,4
Rayen Tinangon,2023-06-21,permainan nya sudah bagus tapi tolong garena baik bug ada apa iya kenapa contoh nya aku main terus kembali lobby kata honor scor aku rendah padahal tidak keluar paksa tolong garena baik tolong garena baik terimakasih,5
Azka Nur Rizky,2023-06-21,permainan nya seru tapi tolong baik bug nya,4
Efendy Ahmad,2023-06-21,bagi buat free fire kenapa ketika saya loading saat mau main clash squad kenapa tidak bisa semakin gagal loading padahal situ saya pakai wifi,1
Adeliya Putri,2023-06-21,kenapa aku turunkan honor skor nya padahal tidak salah apa apa tolong jangan pikir terlalu banyak update tolong hilang bug nya,1
Agiel Kudaibergenov,2023-06-21,maaf saya hapus permainan nya semakin kesini semakin tidak jelas setiap main selalu patah bahkan patah nya lebih parah dari belum nya padahal saya sudah pakai aplikasi bantu agar ping stabil tapi tetap saja jelek kalau karena masalah jaringan saya sudah pakai sampai kartu axis im sama telkomsel tapi tetap saja jelek on the way balik pubg,1
Tri Sablenh,2023-06-21,dari sekian lama saya main ff memang ff penting grafis hd agar bisa saing tanpa pikir dampak kepada kami yang main nya sitiap update saja ada lemah nya bayak sangat bahkan yang ngebug entah itu apa bahkan ada yang rugi kan sangat kepada berguna seperti misal contoh akun tidak bisa mabar sama teman gak bisa main ranked tiba-tiba pental jaring naik se enak jidat tolong lah baik tidak usah banyak update  puasin saja alam main kita akun tidak bisa main,5
Ahmad Husein Nurrochim,2023-06-21,update kalau masih banyak sekali bug nya senjata yang luting amonya ada dan map nya biasa biasa nya jadi hitam,1
User 10,2023-06-21,untuk free fire dan free fire max tolong lah map muda remasteredmax kembali kan karena versi rampage dulu ada map muda remastered dan dulu map map lain komplit dan sekarang muda max tidak ada tolong next update tambah kan map muda max karena kalahari kembali sudah update tolong kembali map sebut,5
Nabil Nouvan hamzah,2023-06-21,bagus dan juga banyak banyak musuh main sangat lancar sekali ada ikanikannya tapi fiturnya sangat bagus,5
