Username,waktu,Komentar,Rating
Ilyas Rouf,2023-06-21,saya sering saat loading in permainan kembali lobby dan mic saya sering error tolong fix,2
Abdi Bayuツ,2023-06-21,bagus lah lama ini tapi peta livik masih harus baik dapat error saat saya pertarungan yaitu perpindahan nya jadi lambat sedang berguna healing item sambil jalan padahal posisi saya sedang pakai senjata saat saya join lobby dan battlenya juga terkadang terkadang layar gelap tidak bisa lihat apa apa padahal tombol hud kelihatansemoga segera baik agar saya atau main lain dapat main peta livik dengan nyaman,4
Omen Zipacy,2023-06-21,mohon perhati karena saya bisa login lewat email dan ketika minta kode verifikasi lupa password muncul sekian dan terimakasih,5
Umar Airmas,2023-06-21,gamenya terlalu lama loadingnya buat tidak suka dari segi permainan permainan yang loadingnya lama sekali,1
Indra Gunawan,2023-06-21,kirain sudah kasih ulasan permainan nya lebih baik e semakin semakin parahtiapkali ketemu musuh pasti jaringan langsung jelek padahal sinyal sudah bagus tempat saya wilayah kota masa karena jaringan nya jelek kan tidak masuk akal padahal ram hp juga sudah kapasitas tinggikecewa habis haha parah anjing semakin parah sudah tahun main pubg tapi semakin kesini bukan nya semakin nyaman buat main tapi semakin semakin banyak problem nyasaran ganti nama saja jadi gpmkgame uji tahan sabar,2
Sadewo Dondo,2023-06-21,pubg kenapa sekarang semakin aneh padahal sudah update saat beberapa hari kemudian muncul update pubg mobile,2
Iyan Wmx,2023-06-21,bug nya terlalu banyakk tidak bisa lari layar hitam dan masalah jaringan padahal jaringan saya sudah bagus tidak ada yang salah,1
Jamil,2023-06-21,tolong per ringan permainan nya buat snap sudah frame drop touch delay,5
Karina Hwang,2023-06-21,tolong diperbaiki lagi buat solokita mau main solo tapi matching nya lama sangat biasa sampai tunggu lebih menit lobby hanya buat matchingtolong diperbaiki lagi biar matching nya cepat,3
Imam Ma'ruf,2023-06-21,tolong jika orang bunuh sama tim sendiri bisa hidup lagi karena saya sering bunuh sama tim sendiri pakai granat saya ingin bisa hidup jika bunuh tim sendiri tolong baik,3
Lion Djuriᄌ,2023-06-21,kira semakin update semakin bagus nyata tidakmalahan semakin banyak bugcontohnya bisa larijalannya lambatmohon diperbaikijikalau sudah baik maka saya akan kasih rating yang lebih bagus,1
Rio Kwee,2023-06-21,baru masuk belum main selalu server error error error skin banyak kualitas main buruk,1
Black Chanel,2023-06-21,untuk grafik dari pubg sudah bagus dan oke lah eventnya juga keren tapi yang jadi masalah ialah bug dan lag nya setiap mulai matching dan ada tempur selalu saja berhenti dan kadanganalog dan tombol kill kerja sama sekali padahal jaringan stabil dan ruang memori masih cukup tolong baik masalah nya terimakasih,4
Ahmad Nyanyang,2023-06-21,untuk developernha adain dong night vision googgles nya kami rindu dengan pandang malam hari,5
Hafid Maulana,2023-06-21,semakin banyak bugnya masa kelas i phone masih kena bug tolong baik itu,2
Nadjib ZAM ZAMi,2023-06-21,admin tolong dong baik bug masa saya lari seperti asa jalan tolong baik,1
Susi Hartanti,2023-06-21,aku padahal tidak bunuh atau knockin tim saya tapi aku semakin dapat kurang rit point alasan nya harmming team padahal yang harmming itu tim saya sendiri dia knockin aku pakai frag grenade sampai mati sudah saya report tapi semakin aku yang dapat kurang nya padahal kan dia yang salah bug aneh sangat tolong segera baik soal nya kalau seperti begini terus tidak heran banyak player pubgm lebih pilih main solo atau unranked biar poin rank nya tidak turun itu saja yang mau saya cerita semoga fix iya,1
bagas daffa,2023-06-21,ketika list connection bisa masuk tanding,1
ariff tzy,2023-06-21,bagus sih hanya grafik nya tidak bisa hd,5
Dion Bedok,2023-06-21,suara mic terkadang ada kadang tidak ada mohon baik dan terkadang jala lambat,3
Abel Kristo,2023-06-21,speed download data permainan terlalu rendah padahal cepat internet lumayan cepat dan versi permainan sudah baru,1
Mardo riski Sinulingga,2023-06-21,tolong ajar untuk optimalisasi setiap perangkat yang main pubg supaya alam main lebih baik dan komunitas semakin banyak masa hp flagship selalu yang lirik untuk optimalisasi iya semakin sepi dong permainan tidak alam main hp middle to low itu bagus kalau sekarang semakin berat harus pakai aplikasi grafik lah hade,2
Raihan Broeh,2023-06-21,gamenya sangat bagus bisa inspirasi,5
HUSEN YAHYA,2023-06-21,permisi pak kalau bisa vikendi salju ada setboat biar seperti dulu sama ada malam dan siang harus adakan biar seru,4
COLLA,2023-06-21,tolong lah krafton sudah berapa tahun saya main pubg masa smokenya tidak perhatiin sih  smoke kenapa warna putih semua terus buat apa skin smoke kalau warna begitu saja tidak ada ubah ada sih ubah itu pun tidak lihat jelas ingame ya karena tutup asap buat apa punya skin smoke kalau tidak liat asap sesuai dengan skinnya aneh terkadang,3
Ergin Denis,2023-06-21,uninstall saja lah ram main pubg hanya siksa orangnya sering ngebug dan tidak bisa lari jalan terus dan tidak lari,1
Achmad Zhaky,2023-06-21,tolong tambah mode hardcore ranked klasik,2
hafis Ilham ramadhan,2023-06-20,banyak cheat tidak terdeteksi kah pantes semakin sepi bunuh team random pula sambil joget Hanya kena rit serius rusak ini permainan event saja bagus,1
Keineshia Naila,2023-06-20,admin kembali event yang hype dong kan nostalgia era resident evil event mesir saya rindu era sebut dan juga seru,4
Ardan,2023-06-20,tolong selsaikan masalah jaringan yang ngelag nya masuk akal,2
Tri Agustian,2023-06-20,ada bug lari atau berhenti permainan pubg mobile ketika main map livik yang pengaruh permainan play,3
Rifa stk,2023-06-20,semakin lama permainan semakin sampah sudah berat kebanyakan bug tiba tiba nge frame semakin update semakin buruk sekarang sudah saya uninstall,1
Donie,2023-06-20,kurang puas dengan permainan initolong game sangat lag dan tiba tiba ngeframe padahal jaringan bagusdan damage player lebih tinggi dari pada damage kulag pada game buat saya bisa main dengan tenang krafton segera baik masalah masalah selsaikan,1
Trisnadi Kiting,2023-06-20,tolong lah baik masalah jaringan ini jaring lancar gilir download data tidak jalan aku download map licik tidak jalan aneh kalau lah,1
Faris ID Channel,2023-06-20,permainan sangat tarik tapi era sekarang sudah susah untuk dapat item rare yang keren,4
Synx God,2023-06-20,krafton tolong itu fitur solo hapus saja kalau tidak bisa in permainan semua map bosen tunggu buat apa ada ada fitur itu kalau nyusahin player,1
Exaudi Mahuze,2023-06-20,saya memeberikan bintang tetapi saya rasa kecewa dengan tencent mana adil banyak player yang berguna cheat bahkan sedang live tapi tencent biar hall itu saya bagai player biasa rasa nyaman main karena banyak nya player yang main curang saya harap tencent segera tanggap minta sebut dengan cepat atau popularitas main atau minat akan kurang hingga ada yang mau main karena tencent beri,5
SUBSCRIBE LINE,2023-06-20,permainan nya bagus sekali tapi ada satu kendala bagi kami para player pubg yaitu tolong dong harga uc nya murahin biar kami tidak terlalu rugi sangat pula saya player kampung mau rasain skin baju saja harus usaha banget moga depan bisa ada gratis skin senjataapa seperti permainan belah biar semakin ramai ini permainan pubg semangat terus untuk developer permainan iya sekarang sudah update sering sekali device saya jadi force closegimana mau enak main orang fc terus,1
Sinduartha Aditama,2023-06-20,tolong kalau sinyal jelek jangan login ulang terus login harus lewat facebook saat mau login suruh tunggu detik main livik baru terjun lari lambat layar hitam tolongg baik lagi,2
Tegar Romansyah,2023-06-20,permainan nya hd dan keren aku harap permainan pubg mobile kolaborasi dengan anime lagi naruto,5
SKEPER,2023-06-20,belum kena zona tapi darah kurang saya minta bugnya baik,1
ACL JEFRY,2023-06-20,sesungguh gamenya sudah bagus tapi saat update kenapa makin tidak jelas misal saya main livik tapi saat sudah main layar semakin jadi hitam dan Hanya ada tombol fire teropong dan lain lain terus ada juga saat saya main livik itu jalan semakin lambat padahal sensitifitasnya sudah walaupun terkadang terkadang saja seperti begitu tapi buat saya cepat mati karena karena lari lambat,3
Pildun Dunia,2023-06-20,tidak ada selsai nya pubg mobile lah bug lah bentar jaringan yang macet sih bukan nya permainan bapak mau ngapain lah kalian sulit sih,1
Anton Tsf,2023-06-20,developer bodoh event sudah didownload tapi bisa berguna,1
Ary Fest,2023-06-20,semakin banyak cheater season ini tolong berantas iya pihak tencent level infinitecheat kebal cheat teleportasi cheat blue zone dan lain lain,5
Pringga Bayaa,2023-06-20,kecewa sangat sama pubg semakin kesini semakin tidak jelas sering ngebug jalan seperti bott padahal jaringan cepat paksa download ulang terus kalau seperti begini terus main gaenak sangat,1
GHOST GAME,2023-06-20,bagaimana akun kena ban karena karena bug permainan yang banyak bug semakin akun yang kena ban padahal aku main normal permainan aneh padahal aku main sudah tahun lebih memang permainan pepek sudah banyak player yang kena ban tidak jelas pantes sekarang sepi,1
Pengguna Google,2023-06-20,permainan rusak tombol tembak tidak bisa pencet,1
Tegar Ramadhani,2023-06-20,pubg iya kakak tidak bisa masuk apa karena sinyal aku dari tadi starting pubg mobile terus tidak ganti capek tunggu nya,3
zsazsa haliza,2023-06-20,dapat login berguna akun google play permainan selalu dapat pesan akses blokir error otorisasi bagaimana agar saya dapat login berguna akun sebut sudah minggu saya stagnan halaman login dan belum temu jawab saya sudah lapor pada pusat bantu hingga kontak email service pubg namun sampai saat belum direspon begini layan hadap player,1
Joseph Stalin,2023-06-20,tolong saya bisa log in permainan karena server busy saya sudah repair dan suruh tunggu tolong,4
Ivan Ariqo,2023-06-20,masa support gyroscop padahal player lama main pubg karena update akhir jadi tidak bisa gyro permainan lain bisa gyro cma pubg yang tidak bisa,1
Czech slvk,2023-06-20,semakin hari permainan buat saya semakin kecewa bagaimana kemaren akun saya dapat ban menit tanpa alasan yang jelas dan hari saya kembali dapat ban lama kurang lebih menit tentu hal itu benarbenar buat saya sangat kecewa saya sudah sama pubg lama tahun tapi apakah yang saya dapat meski sistem gacha sangat buruk itu buat saya kecewa namun hal benarbenar buat saya sangat kecewa dengan pihak pubg mobile,1
RipZz,2023-06-20,bagaimana sih rank saya sudah ace loh kenapa akun saya hilang tahu begini saya tidak akan main pubg buat capek saja kesal sangat saya kecewa saya sama kamu developer padahal saya login nya lewat google itu hilang,1
Wahyu Abdillah,2023-06-20,permainan ngebug tidak bisa lari tidak bisa jalan rate dikit gacha tidak pernah muncul prize jangan download nyesel gb,1
amin nudin,2023-06-20,masa download sendiri selalu padahal sudah tidak otomatis download emang permainan aneh,1
ACH. B,2023-06-20,yang benar saja setiap tanding selalu ada bug,1
naufal mahyuddin,2023-06-20,permainan sangat bagus saya sudah buat harap untuk glasier sudah level tapi waktu nge uninstall pubg dan masuk lalu harap untuk m pindah level jadi jangan main permainan pubg,1
Audrey rayhan,2023-06-20,permainan nya sudah bagus tapi kalau poin nya turun terlalu banyak padahal main karakin  naik sedikit turun banyak seperti anjing,2
Ta Fa,2023-06-20,sudah mendownload map tapi bisa main parah ini bug cepat benarkan,2
Agus Satria,2023-06-20,saya sangat kecewa sekali sama gamealasannya karena sistem bantu untuk pulih akun sangat lemah bahkan kira saya isi formulir untuk pulih akun yang hilang masih saja bisa yg saya pikir masa sudah masukin uid sama nickname masih tidak ketemu akunnyakecewa saya padahal akun saya yang hilang sudah banyak skin mytic legend saya harap pubg bisa bantu pulih akun dan lengkap tanya seperti masuk guild mana level brp,1
ysgsghw wusywhw,2023-06-20,saya akhir sering sekali dapat bug damage sehingga peluru yang tembak musuh jadi ber pengaruh,1
Muhammad Arif,2023-06-20,sering jadi bug tolong baik,3
Danhul Malkia,2023-06-19,setiap hari main permainan yang ada semakin kecewa setiap turun dari pesawat dan saat darat layar langsung hitam sementara musuh layar nya bagus dan bisa cari senjata dan langsung tembak sudah layar bagus dan ketika ketemu musuh yang kuat jaringan langsung error seperti permainan Hanya untuk yang bayar mahal saja saya stop dulu main permainan belum ada baik,1
Frian Irawan,2023-06-19,semakin sini semakin berat sangat sumpah walaupun pakai handphone bit tetap saja harus pakai iphone biar enak banyak framenya anjing kalau mode rendah saat mode lain enak tapi tetap banyak bug terus frame nya aduh,1
Rendi Catur,2023-06-19,saat mau login layar tiba hitam terus logout tolong baik,2
